Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /conversations (setup),300,13,3200,5596.946999043381,36.11033299966948,30212.008708000212,1391.21,1.7093355559877264,0.07407120742613481,3200,5100,6400,7800,16000,30000,30000,30000,30000,30000,30000
POST,POST /conversations/:id/ask,266,215,8,39.552243436152544,2.157582999643637,462.9744589983602,0.0,1.5156108596424507,1.2250238151245372,9,19,36,61,120,170,350,350,460,460,460
,Aggregated,566,228,170,2985.1678382809732,2.157582999643637,30212.008708000212,737.3904593639576,3.224946415630177,1.2990950225506719,170,1000,3300,4400,9400,17000,30000,30000,30000,30000,30000
