Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /conversations (setup),150,0,500,3945.1348814200423,30.718375001015374,24015.520624998317,481.0,0.5089659993352388,0.0,500,1300,4400,8900,18000,21000,23000,24000,24000,24000,24000
POST,POST /conversations/:id/ask,309,170,9,38.49255017148401,2.1905409994360525,812.0760829988285,0.0,1.048469958630592,0.5768281325799373,9,13,45,64,110,130,250,430,810,810,810
,Aggregated,459,170,32,1315.1730505795108,2.1905409994360525,24015.520624998317,157.18954248366012,1.5574359579658306,0.5768281325799373,32,110,210,250,1800,11000,19000,22000,24000,24000,24000
