Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /conversations (setup),400,26,4900,8570.723647597397,15.573791999486275,30336.258334002196,1801.22,1.346096390103439,0.08749626535672353,4900,9400,12000,15000,25000,30000,30000,30000,30000,30000,30000
POST,POST /conversations/:id/ask,491,389,5,24.69981255604087,2.067625002382556,734.100749999925,0.0,1.6523333188519713,1.3090787393755945,5,7,13,22,67,110,190,380,730,730,730
,Aggregated,891,415,61,3861.2986161660797,2.067625002382556,30336.258334002196,808.628507295174,2.99842970895541,1.396575004732318,61,890,4600,5700,12000,24000,30000,30000,30000,30000,30000
