Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /conversations (setup),20,0,15,35.62548135050747,11.981583000306273,132.87812500129803,431.75,0.6894633626055947,0.0,15,16,82,87,100,130,130,130,130,130,130
POST,POST /conversations/:id/ask,6,0,2.239208999526454,3.2726805002312176,2.239208999526454,6.443249996664235,0.0,0.2068390087816784,0.0,3,3,4,4,6,6,6,6,6,6,6
,Aggregated,26,0,13,28.159450385059106,2.239208999526454,132.87812500129803,332.11538461538464,0.8963023713872731,0.0,14,15,16,20,96,100,130,130,130,130,130
