Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1779873387,100,,Aggregated,10.600000,0.000000,3700,4800,6300,7400,9500,12000,12000,17000,19000,19000,19000,291,0,3700,3992.5470901888707,11.554332999367034,18937.42758299777,427.31615120274915
1779873388,100,,Aggregated,11.500000,0.000000,3700,4800,5700,7400,9500,12000,12000,17000,19000,19000,19000,294,0,3700,4007.3155549760577,11.554332999367034,18937.42758299777,427.4761904761905
1779873389,100,,Aggregated,8.500000,0.000000,3700,4800,6300,7400,9500,12000,12000,17000,19000,19000,19000,296,0,3700,4024.149046297152,11.554332999367034,18937.42758299777,427.5810810810811
1779873390,100,,Aggregated,8.500000,0.000000,3700,4800,6300,7400,9500,12000,12000,17000,19000,19000,19000,296,0,3700,4024.149046297152,11.554332999367034,18937.42758299777,427.5810810810811
1779873391,100,,Aggregated,8.500000,0.000000,3700,4800,6300,7400,9500,12000,12000,17000,19000,19000,19000,296,0,3700,4024.149046297152,11.554332999367034,18937.42758299777,427.5810810810811
1779873392,100,,Aggregated,5.200000,0.000000,3700,4800,6300,7400,9500,12000,12000,17000,19000,19000,19000,297,0,3700,4040.167326306253,11.554332999367034,18937.42758299777,427.63299663299665
1779873393,100,,Aggregated,5.200000,0.000000,3700,4800,6300,7400,9500,12000,12000,17000,19000,19000,19000,297,0,3700,4040.167326306253,11.554332999367034,18937.42758299777,427.63299663299665
1779873394,100,,Aggregated,5.200000,0.000000,3700,4800,6300,7400,9500,12000,12000,17000,19000,19000,19000,297,0,3700,4040.167326306253,11.554332999367034,18937.42758299777,427.63299663299665
1779873395,100,,Aggregated,2.200000,0.000000,3700,4800,6400,7500,9500,12000,13000,17000,19000,19000,19000,300,1,3700,4083.1305438798527,11.554332999367034,18937.42758299777,426.23
1779873396,100,,Aggregated,2.200000,0.000000,4500,4900,6400,7600,10000,12000,13000,19000,30000,30000,30000,305,2,4500,4332.429339612961,11.554332999367034,30027.111542000057,495.455737704918
1779873397,100,,Aggregated,0.900000,0.000000,4600,5000,7400,8800,12000,13000,22000,26000,30000,30000,30000,324,4,4600,4933.016469012223,3.151125001750188,30336.258334002196,613.75
1779873398,100,,Aggregated,0.900000,0.000000,4600,5100,7400,9300,12000,17000,26000,27000,30000,30000,30000,326,4,4600,5051.9084993649,3.151125001750188,30336.258334002196,612.6104294478528
1779873399,100,,Aggregated,1.400000,0.200000,4600,5200,7500,9300,12000,20000,26000,28000,30000,30000,30000,329,4,4600,5234.996442124485,3.151125001750188,30336.258334002196,610.936170212766
1779873400,100,,Aggregated,3.100000,0.400000,4600,5200,7500,9400,12000,22000,26000,29000,30000,30000,30000,335,4,4600,5372.104202617781,2.2201669999049045,30336.258334002196,605.1582089552239
1779873401,100,,Aggregated,3.400000,0.400000,4600,5300,7600,9400,12000,23000,30000,30000,30000,30000,30000,342,9,4600,5731.709118543744,2.2201669999049045,30336.258334002196,909.6988304093567
