Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1779873047,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1779873048,5,,Aggregated,0.000000,0.000000,28,28,80,80,85,90,90,90,90,90,90,20,0,28,41.27517489941965,25.118415996985277,90.0685419983347,431.75
1779873049,10,,Aggregated,0.000000,0.000000,28,30,80,82,230,230,230,230,230,230,230,40,0,28,60.297965624795324,25.118415996985277,231.20579200258362,431.75
1779873050,15,,Aggregated,20.000000,0.000000,30,41,90,130,180,230,230,230,230,230,230,60,0,29,67.6294569496046,24.52554200135637,231.20579200258362,431.75
1779873051,20,,Aggregated,20.000000,0.000000,30,41,90,130,180,230,230,230,230,230,230,60,0,29,67.6294569496046,24.52554200135637,231.20579200258362,431.75
1779873052,25,,Aggregated,20.000000,0.000000,30,41,90,130,180,230,230,230,230,230,230,60,0,29,67.6294569496046,24.52554200135637,231.20579200258362,431.75
1779873053,30,,Aggregated,20.000000,0.000000,30,41,90,130,180,230,230,230,230,230,230,60,0,29,67.6294569496046,24.52554200135637,231.20579200258362,431.75
1779873054,35,,Aggregated,20.000000,0.000000,30,41,90,130,180,230,230,230,230,230,230,60,0,29,67.6294569496046,24.52554200135637,231.20579200258362,431.75
1779873055,40,,Aggregated,20.000000,0.000000,30,41,90,130,180,230,230,230,230,230,230,60,0,29,67.6294569496046,24.52554200135637,231.20579200258362,431.75
1779873056,45,,Aggregated,20.000000,0.000000,30,41,90,130,180,230,230,230,230,230,230,60,0,29,67.6294569496046,24.52554200135637,231.20579200258362,431.75
1779873057,50,,Aggregated,20.000000,0.000000,30,41,90,130,180,230,230,230,230,230,230,60,0,29,67.6294569496046,24.52554200135637,231.20579200258362,431.75
1779873058,50,,Aggregated,20.000000,0.000000,30,41,90,130,180,230,230,230,230,230,230,60,0,29,67.6294569496046,24.52554200135637,231.20579200258362,431.75
1779873059,50,,Aggregated,6.000000,0.000000,130,270,2600,4600,6600,7800,8500,8800,8900,8900,8900,105,0,130,1642.2630309713159,24.52554200135637,8917.925124998874,429.7142857142857
1779873060,50,,Aggregated,4.000000,0.000000,280,490,660,3100,6600,7800,8500,8800,8900,8900,8900,158,0,270,1470.0799876391332,21.494000000529923,8917.925124998874,430.1645569620253
