Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /conversations (setup),200,0,410,2456.429828789879,21.494000000529923,18086.93320800012,431.75,0.6711491980606007,0.0,420,1400,3500,4900,8500,12000,15000,18000,18000,18000,18000
POST,POST /conversations/:id/ask,289,124,6,22.623059688563778,2.023083001404302,200.9295829993789,0.0,0.969810591197568,0.41611250279757245,6,8,16,31,85,110,130,140,200,200,200
,Aggregated,489,124,28,1018.0450511410434,2.023083001404302,18086.93320800012,176.58486707566462,1.6409597892581687,0.41611250279757245,28,110,270,420,3500,7500,12000,14000,18000,18000,18000
